HotelID,HotelName,star,taRating,reviewsCount,price,locality,country,city,thumbImage,description
40310,The Residency Towers Coimbatore,5,4.5,1060,5611,Avinashi Road,India,Coimbatore,/4031/40310/images/47977b8c_tn.jpg,"<p><b>Property Location: </b> Located in Coimbatore, The Residency Towers Coimbatore is a 2-minute drive from Gedee Car Museum and 5 minutes from Puliakulam Vinayagar Temple.  This 5-star hotel is 1.9 mi (3 km) from PSG College of Technology and 3.8 mi (6.1 km) from Tidel Park Coimbatore IT SEZ.</p><p><b>Rooms: </b> Make yourself at home in one of the 135 individually decorated guestrooms, featuring minibars and LED televisions. Cable programming and DVD players are provided for your entertainment, while complimentary wired Internet access keeps you connected. Bathrooms have complimentary toiletries and hair dryers. Conveniences include phones, as well as laptop-compatible safes and desks.</p><p><b>Amenities: </b> Treat yourself with massages, body treatments, and facials. You're sure to appreciate the recreational amenities, including an outdoor pool and a fitness center. Additional amenities at this hotel include complimentary wireless Internet access, gift shops/newsstands, and a hair salon.</p><p><b>Dining: </b> Grab a bite at The Edition, one of the hotel's 3 restaurants, or stay in and take advantage of the 24-hour room service. Relax with a refreshing drink at one of the 2 bars/lounges. Buffet breakfasts are available daily for a fee.</p><p><b>Business, Other Amenities: </b> Featured amenities include a 24-hour business center, express check-in, and complimentary newspapers in the lobby. Planning an event in Coimbatore? This hotel has 3800 square feet (353 square meters) of space consisting of conference space and a meeting room. A roundtrip airport shuttle is complimentary (available 24 hours).</p>"
211445,Grand Plaza,3,3.5,83,2352,Near Railway Station,India,Coimbatore,/2114/211445/images/IMG_1084_tn.jpg,"Located opposite the railway station, Grand Plaza, Coimbatore is a family owned hotel with a home like ambience. Elegant settings and gratifying hospitality are beautifully complemented by the string of contemporary amenities offered by the hotel. The well- designed rooms exude a distinct sense of warmth while the equipped conference hall is ideal for hosting corporate events.

<b>Location: </b>
Grand Plaza is located on the Geetha Hall Road, a bustling area of the city. VOC Park/Zoo (Approx. 2km) and St. Michael's Church (Approx. 2km) are the places of visit that surround the hotel. Though Coimbatore is known for the temples and churches, it also houses some other exciting places. Gass Forest Museum, Kasthuri Sreenivasan Trust Art Gallery and Textile Museum as well as Selva Chinthamani Kulam, a water tank, are some of the places worth-visiting.

Distance from Coimbatore Railway station: Approx. 2km
Distance from Coimbatore International Airport: Approx. 10km

<b>Hotel Features: </b>
The hotel has conference as well as a banquet hall which are perfect venues for social gatherings and corporate events. The hotel also provides currency exchange services for added convenience. Internet, business center, laundry, parking, travel desk and doctor on call are the various basic services offered. Catering services, concierge, non-smoking rooms and lounge are some of the additional features. ""Hotpot"", the multi-cuisine restaurant churns delightful dishes from Indian and Chinese cuisines, while ""Jungle Bar"", a well-stocked bar contains an exotic range of spirits.

<b>Rooms: </b>
Guests can lodge in business class rooms and executive class rooms. Elegance, functionality and warmth define the essence of the rooms in Grand Plaza. These air-conditioned rooms are aptly furnished and equipped with a vast range of amenities like internet access, iron, mini bar, refrigerator, safe and telephone. Flat-screen TV, parallel phone line in bathroom, tea/coffee maker, turn down service and writing desk are the other in-room features.

"
47405,Metro Park Inn,3,3.5,93,2184,City Centre,India,Coimbatore,/4740/47405/images/IMG_7616_tn.jpg,"<p><b>Property Location: </b> With a stay at Metro Park Inn in Coimbatore (Town Hall), you'll be within a 15-minute drive of Puliakulam Vinayagar Temple and Gedee Car Museum.  This hotel is 3.3 mi (5.4 km) from Tamil Nadu Agricultural University and 3.9 mi (6.3 km) from PSG College of Technology.</p><p><b>Rooms: </b> Make yourself at home in one of the 42 air-conditioned rooms featuring fireplaces. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Conveniences include safes and desks, and housekeeping is provided daily.</p><p><b>Amenities: </b> Make use of convenient amenities such as complimentary wireless Internet access, tour/ticket assistance, and barbecue grills.</p><p><b>Dining: </b> Enjoy a meal at the restaurant, or stay in and take advantage of the hotel's 24-hour room service. Quench your thirst with your favorite drink at the bar/lounge. A complimentary continental breakfast is served daily from 7 AM to 10 AM.</p><p><b>Business, Other Amenities: </b> Featured amenities include a 24-hour business center, complimentary newspapers in the lobby, and dry cleaning/laundry services. Free valet parking is available onsite.</p>"
327719,Hotel Sree Murugan,2,3.0,55,1568,City Centre,India,Coimbatore,/3277/327719/images/_MG_9705_tn.jpg,"Hotel Sree Murugan, Coimbatore, is synonymous with gratifying hospitality, impeccable services and an unparalleled sense of warmth. The hotel greets its guests with a gamut of amenities and splendidly appointed rooms. With a range of culinary delights as well as spaces for social & corporate gatherings, this hotel is a preferred choice for business and leisure guests alike.

<b>Location: </b>
Hotel Sree Murugan is located at 56, Devi & Co. Lane, quite close to the railway station. Places of visit like the CSI Christ Church (Approx. 1km) and Sri Saradambal Temple (Approx. 3km) can be easily accessed from the hotel. The city houses many religious places of visit. Athar Jamath Majeed, built by perfume merchants in the ancient days is one of the oldest mosques in the city, while the Koniamman temple is a beautiful 13th century temple constructed by ""Irula"" community.

Distance from Coimbatore Railway station: Approx. 2km
Distance from Coimbatore International Airport: Approx. 11km

<b>Hotel Features: </b>
Hotel Sree Murugan provides an array of necessary services such as internet, laundry, parking, travel desk and doctor on call. Lounge, car rental and business services are some of the other additional features that can be availed by the guests. Arrangements for corporate events can also be made in the well-equipped conference hall. The hotel's very own restaurant sports an elegant decor and serves a delectable range of Chinese, Tandoori & South Indian cuisines, whereas the electrifying Pub is the ideal place for merry making and sipping tantalising beverages.

<b>Rooms: </b>
The lodging options offered to the guests include deluxe non A/C rooms, junior suites, deluxe A/C rooms and royal triplet rooms. With an earthy feel and use of pastel shades, these rooms emanate ultimate comfort. Air conditioning, colour TV, internet, refrigerator, safe, telephone, tea/coffee maker, temp control and writing desk are the basic features that make the stay truly pleasant.

"
328159,Aloft Coimbatore Singanallur,4,4.0,770,5074,Avinashi Road,India,Coimbatore,/3281/328159/images/01_JVP0112_(Hotel)_tn.jpg,"<p><b>Property Location: </b> A stay at Aloft Coimbatore Singanallur places you in the heart of Coimbatore, a 5-minute drive from Gedee Car Museum and 11 minutes from PSG College of Technology.  This 4-star hotel is 4.6 mi (7.4 km) from Tidel Park Coimbatore IT SEZ and 5.2 mi (8.3 km) from Codissia Trade Fair Complex.</p><p><b>Rooms: </b> Make yourself at home in one of the 167 air-conditioned rooms featuring minibars and LCD televisions. Complimentary wireless Internet access is available to keep you connected. Private bathrooms with showers feature rainfall showerheads and designer toiletries. Conveniences include phones, as well as safes and desks.</p><p><b>Amenities: </b> Take advantage of recreation opportunities including a 24-hour health club and an outdoor pool. Additional features at this hotel include complimentary wireless Internet access and concierge services.</p><p><b>Dining: </b> Grab a bite at one of the hotel's 3 restaurants, or stay in and take advantage of the 24-hour room service. Quench your thirst with your favorite drink at the bar/lounge. A complimentary hot/cold buffet breakfast is served daily from 7 AM to 10:30 AM.</p><p><b>Business, Other Amenities: </b> Featured amenities include limo/town car service, dry cleaning/laundry services, and luggage storage. Event facilities at this hotel consist of a conference center and meeting rooms. A shuttle from the airport to the hotel is complimentary (available 24 hours).</p>"
329458,Comfort Hotels,3,3.5,36,2352,City Centre,India,Coimbatore,/3294/329458/images/DSC_0104_tn.jpg,"Comfort Hotels, Coimbatore, offers a warm ambience to business and leisure travellers. With easy access to the sacred temples, railway station and corporate hubs, the elegantly decorated hotel attracts leisure as well as business travellers. Experience a comfortable stay at this centrally located hotel.

<b>Location:</b>
Comfort Hotels is located at D.B. road, R.S. Puram. Tamil Nadu Agriculture University (Approx. 2km) and Perur Siva Temple (Approx. 7km) are proximate places near the hotel. One of the prominent research institutions of South Asia, Tamil Nadu Agriculture University is well-connected by several modes of transport and its chief attraction is a botanical garden with various species of plants and flowers. Other interesting hotspots include Marudamalai Temple, Eachanari Vinayagar Temple and Parambikkulam Wildlife Sanctuary.

Coimbatore International Airport: 13 km (approx.)
Coimbatore Junction Railway Station: 3 km (approx.)

<b>Hotel Features:</b>
Guests can avail the basic services that include air conditioning, room service, front desk, travel desk, elevators, parking, security and doctor-on-call. The state-of-art business centre and conference facilities suffice the needs of business professionals. Plan social gatherings and events with the banqueting facilities at the hotel.The in-house restaurant, with a lovely setting, serves tasty vegetarian Indian delicacies. 

<b>Rooms:</b>
Lodging options at the hotel include deluxe A/c and club rooms. The rooms are elegantly decorated with a pleasing decor. The cosy rooms offer a refreshing ambience after a hectic schedule. Essential amenities like air conditioning, colour television, safe and telephone ensure a delightful stay."
332278,Vivanta by Taj Surya,5,4.5,1152,6844,Avinashi Road,India,Coimbatore,/3322/332278/images/Quick_Peek_tn.jpg,"<p><b>Property Location: </b> Located in Coimbatore, Vivanta by Taj Surya is a 5-minute drive from Puliakulam Vinayagar Temple and 8 minutes from Gedee Car Museum.  This 5-star hotel is 3.2 mi (5.2 km) from PSG College of Technology and 4.5 mi (7.2 km) from Tamil Nadu Agricultural University.</p><p><b>Rooms: </b> Make yourself at home in one of the 178 air-conditioned rooms featuring refrigerators and minibars. Plasma televisions and DVD players are provided for your entertainment, while complimentary wireless Internet access keeps you connected. Private bathrooms have complimentary toiletries and bathrobes. Conveniences include safes and complimentary newspapers, and housekeeping is provided daily.</p><p><b>Amenities: </b> Take advantage of recreational opportunities offered, including a health club, an outdoor pool, and a sauna. Additional amenities at this hotel include complimentary wireless Internet access, concierge services, and babysitting/childcare (surcharge).</p><p><b>Dining: </b> Enjoy a meal at the restaurant or snacks in the coffee shop/cafe. The hotel also offers 24-hour room service. Quench your thirst with your favorite drink at the bar/lounge. Buffet breakfasts are available daily from 7 AM to 10:30 AM for a fee.</p><p><b>Business, Other Amenities: </b> Featured amenities include wired Internet access (surcharge), a business center, and complimentary newspapers in the lobby. Event facilities at this hotel consist of conference space and meeting rooms. A shuttle from the airport to the hotel is provided for a surcharge (available 24 hours), and free valet parking is available onsite.</p>"
355300,CAG Pride,3,4.5,907,5192,Near Bus Terminal,India,Coimbatore,/3553/355300/images/UPPER_LOBBY_VIEW.v3_(1)_tn.jpg,"Hotel CAG Pride, Coimbatore is managed by CAG group of companies, which is known for its impeccable hospitality standards. The hotel was awarded Young Hotel Entrepreneur of the Year 2008 by Federation of Hotels & Restaurants Association of India. The innovative hotel exudes sophisticated elegance that cannot be missed. Its facilities and infrastructure match with the changing needs of today's lifestyle making it absolutely perfect for all travellers.

<b>Location: </b>
Hotel CAG Pride is located on 312 Bharathiyar Road, Coimbatore. The city is the fourth largest metropolis in South India and is the administrative capital of Coimbatore district. Places to visit that are proximate to the hotel are Ayyappan Temple (Approx. 1km) and Lourds Church (Approx. 1km). The pious Lourds Church started its first Sunday devotion from September 1949. People from neighbouring villages and cities gather in hundreds on the first Saturdays for worship. Other famous places to visit include Dhyanalinga Yogic Temple, Infant Jesus Church and Perur Patteeswara Swamy Temple.

Distance from Coimbatore Railway Station: Approx. 3 km
Distance from Coimbatore International Airport: Approx. 10 km

<b>Hotel Features: </b>
Hotel CAG Pride constantly keeps altering their services to provide guests with the best during the stay. It is equipped with all the modern amenities required without compromising on quality. Some of the basic amenities offered are in-house laundry, ample parking, money exchange, pick-up and drop facility and cab services. Guests can plan their journey through the travel desk facility provided by the hotel. For conducting business or social events, banquet/conference facility or boardroom is also provided by the hotel. Its well-equipped health club ensures guests do not have to miss-out on their work-out regimen. The in-house exclusive multi-cuisine restaurant and lounge bar are perfect avenues to chill-out with sumptuous delicacies and drinks.

<b>Rooms: </b>
Hotel CAG Pride offers a variety of accommodations, including  executive rooms, studios and suites. All the rooms feature a modern decor, luxurious appeal and a calming ambience. Basic amenities such as tea/coffee kettle, LCD television, in-room safe and Wi-Fi access are provided. In addition, all the rooms have a mini-bar that is well-stocked."
308820,Hotel Sriram International,2,3.0,18,1736,Near Railway Station,India,Coimbatore,/3088/308820/images/DSC_0181_tn.jpg,"Hotel Sriram International, Coimbatore is a welcoming hotel that strives to make the guests feel comfortable and at home. A destination of comfort and cordial hospitality, it caters to various segments, including leisure, corporate and transit travellers. The location is an added bonus as it is at a short distance from the Coimbatore railway station.

Hotel Sriram International is located at 18 & 19 State Bank Road, Coimbatore. Coimbatore, also known as Kovai, is the second largest metropolitan city in the state of Tamil Nadu. The city is located on the banks of the Noyyal River surrounded by the Western Ghats. Guest's can visit some religious places, including Mangala Vinagar Temple (Approx. 0.25 km) and Infant Jesus Church (Approx. 9 km). The church is located at Kovaipudur in the outskirts of Coimbatore. In addition, guests' can take a day's trip to visit the famous Tamil Nadu Agricultural University, Indira Gandhi Wildlife Sanctuary and Gass Museum.

Distance from Coimbatore Railway Station: Approx. 2 km
Distance from Coimbatore International Airport: Approx. 10 km


Hotel Sriram International is a homely hotel with a spacious front lobby that is airy and luxurious. The hotel offers various amenities to make sure that the guests are comfortable. Basic amenities offered include room service, front desk, daily housekeeping, laundry, internet, parking and doctor-on-call. For convenience of business guests the hotel has a well-equipped business centre. The travel desk ensures that the travelling arrangements are done as per the needs of individual guests. Its spacious, well-decorated banquet hall is perfect for holding private functions or parties. For dining, the in-house restaurant is a great place.

At Hotel Sriram International, the rooms are spacious, comfortable and furnished with modern amenities. The room options offered are executive room and deluxe room. All rooms are equipped with refrigerator, colour television with multi channel system and 24-hrs hot and cold water supply."
318545,Hotel Raamus,2,3.0,81,899,Near Railway Station,India,Coimbatore,/3185/318545/images/DSC_0020_tn.jpg,"Offering a unique blend of convenience and warmth, Hotel Raamus, Coimbatore is one of the most sought-after destinations in the city. Located downtown, this hotel is accessible from all the important locations in the city. The rooms are truly comforting, while the unparalleled services and gracious hospitality makes the stay memorable.

<b>Location: </b>
Situated on Davey & Company Lane, Hotel Raamus stands opposite the railway station. The hotel has tourist places like Sri Saradambal Temple (Approx. 3km) and Sri Selva Vinayagar Temple (Approx. 6km) in its vicinity. Gass Forest Museum, a Government run natural history museum and Lourds Church, a place with healing powers are some of the prominent places of visit in the city.

Distance from Coimbatore Railway station: Approx. 3km
Distance from Coimbatore International Airport: Approx. 11km

<b>Hotel Features: </b>
Hotel Raamus is a great option for leisure guests. The basic facilities offered are 24-hour front desk, laundry, parking, travel desk, 24-hour security and doctor on call. A mouth-watering range of North Indian and South Indian delicacies awaits guests at the in-house restaurant. Special request for occasional outdoor catering is also undertaken by the restaurant. The hotel also houses the Ramba bar, a cozy and relaxed place to enjoy drinks in the company of friends and family.

<b>Rooms: </b>
Standard Non A/C rooms and Standard A/C rooms are the accommodation options that can be availed by the guests. With simple styling and warm ambience, these air-conditioned rooms are specially designed to offer ultimate relaxation and comfort to the guests. All the rooms are provided with a balcony which offers spectacular views of Nilgiri at one end and the Western Ghats on the other. These rooms feature amenities like colour TV and telephone with direct dialling.

"
